question,answer
What all can I do if my Demat relationship is linked?,"You will be able to do the following:
View your Holding Statement.
View your Transaction Statement.
Check the status of requests placed, iz. Demat Request, Transfer Instruction & Pledge Request.
Check your personal details as in our record.
Check the ISIN of securities.
Check the settlement details like pay-in and pay-out dates of a settlement.
Check your ledger balance.
Request for a Transfer Instruction Booklet.
Details of Bills.
e-Instructions
"
Is it necessary to get my mobile number/e-mail registered to generate a login/ transaction passwords online?,"Yes. It is mandatory to have a registered mobile number updated for resident savings account and NRI account holders.Resident savings account holders can add/ update their mobile number by visiting the nearest ICICI Bank branch or ATM. To locate the nearest ICICI Bank branch or ATM, please click here.
NRI customers can add/ update their registered mobile number by calling our Customer Care or visiting the nearest ICICI Bank branch in India.
"
"I have entered the User ID and mobile number correctly, but still I am not able to generate the unique number.","Kindly check the below points:
If you are still unable to get the unique number, you may call our Customer Care between 7:00 a.m. and 9:00 p.m. from your registered mobile number. To know the local Customer Care numbers, please Click here.
Please recheck your User ID
The mobile number you are entering should be the same as updated in the bank's records.
"
What is a '6-digit unique number'? How is it different from a password?,"The 6-digit unique number is sent to your registered mobile number for Resident Saving account and NRI account holders.You need to validate this number on the validate option available to generate your new password.
"
I am getting the message `Password reset recently'.,"It is possible that you have already placed a request for the generation of password through phone banking/branch which has been processed and sent to you. Please call Customer Care for the dispatch details.
"
"I am unable to use the 'Online password generation' facility for my Credit Card, Loan and Demat accounts.","This facility is currently available only for Savings account holders of ICICI Bank. Please call our Customer Care to place request for password of your Credit Card, Demat and loan accounts.
"
"I have entered the unique number incorrectly 3 times. The system states this facility has been disabled, what should I do?","[[-NUM]]
[[-NUM]]
For the security of the account, the facility of ""Online password generation"" has been disabled for your User ID. Please call the Customer Care from your registered mobile number to enable the online password generation facility.
To know the Customer Care numbers, please click here

[[-NUM]]
[[-NUM]]
"
I am getting the message incorrect User ID'. Where can I get my User ID?,"Click here to get your User ID online or Call our Customer Care, authenticate on IVR by entering the 16-digit number of your Debit Card and the 4-digit ATM PIN to get your user ID instantly.
"
What is the validity of the unique number received by me?,"The validity of your unique number is only 24 hours. Please validate your unique number within 24 hours and generate your passwords. If you could not validate your unique number, please regenerate it again.
"
What is the minimum and maximum limit of transaction?,"You can transfer funds up to Rs 10 lakhs per day per User ID through m.icicibank.com This limit is inclusive of internet banking limits.
"
How does m.icicibank work?,"m.icicbank.com works on the data connection ie;GPRS/3G/Wi-fi.
"
How do I transfer funds through m.icicibank.com?,"You require a user id and Login password and active debit card linked to the account to transfer funds.
"
Can I add payees and billers through m.icicibank.com ?,"No, adding a new payee or biller is currently not available through this service. You can only make payments or transfer funds to register billers and payees.To add biller or payee, please login to http://www.icicibank.com and register biller/payee.
"
My query is not listed what should I do?,"Kindly call our Customer Care Number, if you have any further queries.
"
What is m.icicibank.com ?,"m.icicibank.com is a web based service through which you can access your internet banking account through a mobile phone browser.
"
How do I avail m.icicibank.com service?,"Type m.icicibank.com on your mobile phone browser and use your internet banking login User ID and Password to login and avail the service.
"
If I do not know my User ID and Password what should I do?,"To know you user ID and to generate your login password Click here.
"
Why do I need to use m.icicibank.com?,"m.icicibank.com allows you to access your bank account on your mobile device. Its fast and convenient since the pages are designed to run on your mobile device.
"
Can Internet Banking service be used on all mobile devices?,"Yes, this service can be used on most of the handsets available in the market.
"
Are there any charges for using Internet and Mobile Banking  services?,"No. The internet/Mobile banking facility is free of charge.
"
Is using m.icicibank.com safe and secure?,"Yes. Please check the URL while using m.icicibank.com. It should start with ""https"" and not ""http"". ""https"" means you are using a secure site and also the data transfer is in encrypted form.Kindly refer our safe banking section for complete security measures.
"
What safety measures i should follow while using m.icicibank.com?,"Please read safe banking tips. Click here.
"
I do not have a user ID and password. How do I get one?,"You can get your User ID through any of the below mentioned channels:
You may call our Customer Care, authenticate on IVR by entering the 16-digit number of your debit card and the 4-digit ATM PIN to get your User ID instantly.
Please visit the nearest ICICI Bank branch along with your original photo ID proof and make a request for Internet Banking User ID. To locate the nearest ICICI Bank branch, please click here.

Note: To use Internet Banking/ SMS Banking facility, your mobile number should be registered for Internet Banking alerts.
You can get your Password through any of the below mentioned channels:
You may call our Customer Care between 7:00 a.m. and 9:00 p.m. from your registered mobile number. To know the local Customer Care numbers, please click here.
Please visit the nearest ICICI Bank branch along with your original photo ID proof and make a request for Internet Banking Password. To locate the nearest ICICI Bank Branch, visit maps.icicibank.com/mobile.
Internet Banking:

Visit our website www.icicibank.com > Internet Banking (Bottom of the page) > I want my User ID.
On successful entry of savings account number and mobile number, you will receive the User ID and its status on your registered mobile number through an SMS. Alternatively, you may click here to proceed.
Visit our website www.icicibank.com > Internet Banking (Bottom of the page) > I want my User ID.
On successful entry of savings account number and mobile number, you will receive the User ID and its status on your registered mobile number through an SMS. Alternatively, you may click here to proceed.
Customer Care:
You may call our Customer Care, authenticate on IVR by entering the 16-digit number of your debit card and the 4-digit ATM PIN to get your User ID instantly.
ICICI Bank Branch:
Please visit the nearest ICICI Bank branch along with your original photo ID proof and make a request for Internet Banking User ID. To locate the nearest ICICI Bank branch, please click here.
Internet Banking:

Please visit our website www.icicibank.com > Internet Banking (Bottom of the page) > I want my Password
Alternatively, you may click here to proceed.
Please visit our website www.icicibank.com > Internet Banking (Bottom of the page) > I want my Password
Alternatively, you may click here to proceed.
Customer Care:
You may call our Customer Care between 7:00 a.m. and 9:00 p.m. from your registered mobile number. To know the local Customer Care numbers, please click here.
ICICI Bank Branch:
Please visit the nearest ICICI Bank branch along with your original photo ID proof and make a request for Internet Banking Password. To locate the nearest ICICI Bank Branch, visit maps.icicibank.com/mobile.
"
How can I activate my user ID?,"If you have opened an account recently, you will find your Internet Banking User ID/ Password in the Welcome Kit provided to you at the time of Account opening.

In case you have forgotten your User ID or password and have a registered mobile number, you can get your User ID instantly on your registered mobile number and you can immediately set a new password online.
I want my User ID
I want my Password
For Login assistance give a missed call on 09223011114 to receive an instant Callback.
If you do not have a registered mobile number, you can visit your nearest ICICI Bank Branch or our Customer care to request User ID or Password.
"
Transaction Related,"1) Once I have been given access to the new retail Internet Banking website, will I be able to use other products and services?
Yes, you can continue to use all ICICI bank products and services such as iMobile application, i-safe application, m.icicibank.com, 'Pockets by ICICI Bank' etc.

2) Do my registered payees / billers, instructions and linked accounts change with the new retail Internet Banking website?
No, all your existing payees, billers, standing instructions, linked accounts, transaction history will be available in your new retail Internet Banking website.

3) Will I be able to see all my linked accounts?
Yes, all your linked accounts will be available on the new retail Internet Banking website.

4) Will I need to re-schedule my existing standing instructions on the new retail Internet Banking website?
No, you will not be required to re-schedule the standing instructions. All your existing standing instructions will be executed as per your request. If you want to modify the existing standing instructions, you can modify them through the new retail Internet Banking website.

5) Will I continue to receive all Internet Banking alerts on my registered mobile number / e-mail ID?
Yes, you will continue to receive all your Internet Banking alerts on the registered mobile number / e-mail ID.

6) Does the new retail Internet Banking website work on all browsers?
Yes, the new retail Internet Banking website works on all browsers.

7) I have already registered for i-safe, will I still be able to use i-safe application to generate OTP / URN and use the same?
If you are already registered for i-safe, you need to use i-safe mobile application to generate OTP / URN.

8) I am not able to find Pay Any Visa Credit Card option?
Pay Any Visa Credit Card option has been moved to Manage Billers option in Payments & Transfer section

9) I am getting an error ""Your grid card authentication has been disabled"". What do I need to do?
This error is faced when you incorrectly enter your grid card value thrice. This service will be restored automatically by end of the day. If you need to transact immediately, please call our 24 hour Customer Care.

10) Where will I find my Fund Transfer and Bill Payment transactions that are scheduled for a later date and the transactions that have already been done by me?
To know your scheduled transactions, you need to go to Payments and Transfer - Transaction Status - Scheduled Transactions
To know your transaction history, you need to go to Payments and Transfer - Transaction Status - Completed Transactions

11) How do I schedule a payment to my presented bill?
While accepting your presented bill, please change the date to the date you wish to schedule your payment. This date needs to be either the due date of the bill or prior to that date.
"
Still need help?,"Please call our 24 hour Customer Care number for all your Internet Banking queries.
"
Services Available,"1) I want to know in detail about the features and services available in the new Internet Banking website.
We have categorised the features as following:
My View: This page provides you a complete overview of your relationship with the Bank. This view can be personalised as per your choice through the ""Personalise My View"" option in Overview tab.

You can personalise your My View page by selecting from the available widgets. You can also do the following:
My Accounts: This tab provides all your bank relationships such as Account Summary, Bank accounts, Deposits, Loans, Credit Cards, Demat and PPF accounts. It also provides you statements for your Bank account through the E-statement Options.

Payments and Transfer: You can carry out all your financial transactions through Payments and Transfer section. Following are the services in Payments and Transfer section:
Investment & Insurance: In ""Investment and Insurance"" tab, you can view all your linked Investment and Insurance (Lombard, Prudential) details. If you do not have your policies linked, you can link them by visiting ""Customer Service Service Requests - Other Services - More Options"" tab and place a request for linking your Lombard and Prudential Insurance policies.

Here, you can also apply for General Insurance and Life Insurance. Customer registered for Online purchase of Mutual Fund will be able to do so from this option.

Exclusive Offering: In this tab, you can view your Personal Finance Management tools like ""My Money"" and access your ""iWish deposit"" accounts. You can also view your MySavingReward Points.
2) I want to know about the Personalise Transaction Limits facility.
Personalise Transaction Limits is a facility which allows you to choose transaction limits (within the maximum limit set by bank for transactions) of your choice for your Internet Banking transactions. Visit Personalise Transaction Limits option, which is available under the My Profile option in Customer Service tab and you can change your transaction limits by selecting the ""Personalised Limit Category"" of your choice.
My View
My Accounts
Payments & Transfer
Investments and Insurance
Exclusive Offering
Customer Service
Change the widgets: You can click on “Personalise My View“ tab, select the widget by clicking on the box and add.
Get the confirmation of the widget added to My View: After adding the widget, you will get a confirmation on the same page. Click on “My View” and you will be able to view the changes made.
Remove widget from the page: You can click on “Personalise My View“ tab, select the widget by clicking on the box and then remove the widget. Click on “My View” and you will be able to view the changes made.
My Shortcuts: To choose your shortcut go to Customer Service My Profile ( you will see my shortcut in the left hand menu). This may be populated with most commonly used features, however, you can change this by clicking on the customised link.
Funds Transfer: This option allows you to initiate fund transfer transaction mentioned below:

Transfer Funds to Your Own ICICI Bank Account
Transfer Funds to Other ICICI Bank Account
Transfer Funds to Other Bank Accounts(using NEFT, RTGS, IMPS_IFSC)
Transfer Funds through IMPS using Mobile Number and MMIDFurther, through ""Funds Transfer"" option on left hand side, you can carry out the following transactions: 
Initiate Funds Transfer
Generate / Retrieve MMID
Funds Transfer Abroad
Smart Money Order
Transfer Funds to Your Own ICICI Bank Account
Transfer Funds to Other ICICI Bank Account
Transfer Funds to Other Bank Accounts(using NEFT, RTGS, IMPS_IFSC)
Transfer Funds through IMPS using Mobile Number and MMIDFurther, through ""Funds Transfer"" option on left hand side, you can carry out the following transactions:
Initiate Funds Transfer
Generate / Retrieve MMID
Funds Transfer Abroad
Smart Money Order
Bill Payment: This option allows you to make payment to registered billers and for presented bills. Also, the following transactions are available on the left hand side menu of Payments and Transfer section

Initiate Bill Payment
Pay ICICI Bank Credit Card bill
Pay Any Visa Credit Card
Initiate Bill Payment
Pay ICICI Bank Credit Card bill
Pay Any Visa Credit Card
Prepaid Recharge: You can avail recharge(Prepaid mobile / Data card and DTH) service through this option.
Manage Payee: Manage payee allows you to add new payees, delete already added payees and confirm payee. To delete payee, click on View Payee list - select payee - delete the payee.
Manage Billers: This option allows you to manage your billers.

Register Biller
Confirm Biller
My Registered Billers
List of Billers
Register Biller
Confirm Biller
My Registered Billers
List of Billers
Transaction status: Through this option, you will be able to view details with status of all your completed transactions. Also, you will be able to view / modify your scheduled transaction details.
Service Request: Raise all your requests through Service Request option:

Bank account: Request for Demand Draft, request for linking of accounts etc.
Deposit account: Create Fixed Deposit, Recurring Deposit, request for Fixed Deposit / Recurring Deposit renewals, request for closure of Fixed Deposit / Recurring Deposit etc.
Credit card: Request for link your Credit Cards, request duplicate PIN etc.
Loan: Raise all your Loan related queries.
Demat: Raise all your Demat related queries.
Others: You can place request for linking of Prudential, Lombard policies etc.
Bank account: Request for Demand Draft, request for linking of accounts etc.
Deposit account: Create Fixed Deposit, Recurring Deposit, request for Fixed Deposit / Recurring Deposit renewals, request for closure of Fixed Deposit / Recurring Deposit etc.
Credit card: Request for link your Credit Cards, request duplicate PIN etc.
Loan: Raise all your Loan related queries.
Demat: Raise all your Demat related queries.
Others: You can place request for linking of Prudential, Lombard policies etc.
My Mail Box: You can compose, view received mails or send mails to your account manager for any of your account related queries.
My Profile: Through this section, you can manage your accounts.

Date & Amount Format: It allows you to select the date and amount format of your choice.
E-mail ID: Register your e-mail ID
Favourite Accounts: You can set your favourite accounts here.
Favourite Activities: Set your favourite activities such as Funds Transfer, creating Fixed Deposits etc.
i-safe activation, change PIN, de-activate i-safe
Nickname: Set your account Nick name
Password: Change log in password
Primary Account: Set your primary account
Personalise Transaction Limits: Here, you can choose your transaction limits from the defined five sets.
Date & Amount Format: It allows you to select the date and amount format of your choice.
E-mail ID: Register your e-mail ID
Favourite Accounts: You can set your favourite accounts here.
Favourite Activities: Set your favourite activities such as Funds Transfer, creating Fixed Deposits etc.
i-safe activation, change PIN, de-activate i-safe
Nickname: Set your account Nick name
Password: Change log in password
Primary Account: Set your primary account
Personalise Transaction Limits: Here, you can choose your transaction limits from the defined five sets.
"
I am still seeing my old Internet Banking logged in section. Is there a problem?,"No, the upgrade to the new Internet Banking website is being done in phases. If your e-mail ID / mobile number is updated with us, you will receive communication once you have been given access to the new website.
"
Do I need a new user ID and password to access the new retail Internet Banking website?,"User ID and password remains unchanged for all our users. You can access the new website with your existing user ID and password.
"
How do I access the new retail Internet Banking website?,"The process of logging on to the new retail Internet Banking website remains unchanged. Upgrade is happening in phases. All users who have been given access to the new Internet Banking website will be automatically redirected to the new site on entering their existing user ID and password on www.icicibank.com
"
New Feature Related,"1) What are the changes in the new retail Internet Banking website?
Following are the major changes in the new retail Internet Banking website:
We have enhanced the security features in the new website. Now, your online transactions are secured with a login password and grid card and / or One Time Password (OTP). Therefore, the transaction password is not required anymore.
For Credit Card related transactions or service requests, One Time Password (OTP) will be prompted to registered mobile number for authentication.
Log out button has been moved from the right hand top corner to the left panel on the screen.
Pay Any Visa Credit Card option (registration and transaction) has been added in the Bill Payments section, which is available under the Payments & Transfer section.
All service requests (related to bank accounts, deposits, credit card, loans etc.) have been made available with each product, along with easy search feature.
Transaction status of all completed and scheduled transactions has been made available under Payments and Transfer Transaction Status
Separate section has been made available to manage all your payees and billers. The option is available in Payments and Transfer Manage payees / Manage Billers.
"
What if a customer wants to cancel the payment?,"If the customer wants to cancel the payment, all they have to do is send DIRECT MESSAGE(DM) #cancelpay @beneficiary optional: last two digits of coupon code
"
What is a Direct Message?,"Direct Messages are private messages sent from one Twitter user to other Twitter users. You can use Direct Messages for one-on-one private conversations, or between groups of users

One-on-one Messages:
Hence, the moment you follow @icicibank, we follow you back instantly and you can start sending Direct Message( DM) to us for transactions.

To start direct messaging, click on the message icon on your screen.
You can only send Direct Messages to users who follow you.
You can receive Messages from any user that you follow.
"
How can I view my last transactions with a tweet?,"Send a Direct Message(DM) in the following format: #itran
"
Is inter-bank transfer allowed ? Is there any limit for the amount of transactions?,"YES Customer can do transfer to anyone having a Twitter account. Limit -Yes, you can transfer up to Rs. 5,000 per transaction. Also, there is a daily limit of Rs. 10,000.
"
How can you send money using icicibankpay?,"To transfer funds using your Twitter Account, send a Direct Message (DM) to @icicibank in the following format: #Pay Receiver's Twitter Account Amount

You will get a 4 digit passcode via SMS from ICICI Bank which you will need to share with the receiver for redemption. The receiver will receive a tweet with a coupon code on his timeline that you have sent money to him. The receiver has to authenticate his Twitter User ID and password and use this 4 digit passcode to redeem money sent. This 2 factor authentication parameter ensures safe and secure transaction.
"
How can I register for icicibankpay to start banking using Twitter?,"You can register in 4 simple steps:
Follow ICICI Bank Twitter Account - @icicibank. If you are already following @icicibank, then please UNFOLLOW and then FOLLOW @icicibank again. We will follow you instanteously.
Send Direct Message in the following format: #reg Your registered mobile number with ICICI Bank
Get OTP on your registered mobile number
Send a Direct Message(DM) with the OTP you received from @icicibank, in the following format: #regotp OTP
"
What are the banking transactions that I can do using Twitter?,"You can now do both Financial and Non-Financial Transactions using Twitter. In Financial Transactions you can do Funds Transfer and Prepaid Mobile Recharge. In Non-Financial transactions you can check balance and view your last 3 transactions using just your Twitter Account
"
How can I check account balance using Twitter ?,"Send a Direct Message(DM) to @icicibank in the following format : #ibal
"
"I have not received passcode for redemption of voucher, what should I do?","You would have to call the sender and request for the passcode. The Sender needs to Send a Direct Message(DM) to @icicibank in the following format: #sendcode Voucher ID
"
Can a new account opening process be done through Twitter ?,"Currently, Twitter is not available for opening of new accounts.
"
How can receiver redeem money sent using icicibankpay?,"To transfer funds using your Twitter Account, send a Direct Message(DM) to @icicibank in the following format: #Pay Receiver's Twitter Account Amount

The receiver will receive a tweet with a coupon code on his timeline that you have sent money to him.

On clicking on the link given on the Tweet, the receiver will be redirected to the redemption page. On this page the receiver will need to first authenticate his/her Twitter ID and password, provide account details and the 4 digit passcode which you will share with him/her to redeem the voucher and collect the money.
"
How do I delink my ICICI bank account from my Twitter Account?,"You can delink by simply unfollowing ICICI Bank Twitter Account
"
Can I transfer money to anybody using my Twitter account?,"Yes you can transfer money to anybody with a valid bank account in India, both the sender and the beneficiary have to be registered on Twitter
"
"For transferring funds to third party, how will a customer register a new beneficiary on Twitter or on I-banking?","Customer can send money to anyone having a Twitter account and a bank account .There is no need to register a Beneficiary.
"
Is there any limit of the amount that can be transferred using Twitter Banking?,"Yes, you can transfer up to Rs. 5,000 per transaction. Also, there is a daily limit of Rs. 10,000.
"
How safe is Twitter Banking? Will it have privacy?,"Since the messages are Direct Message(DIRECT MESSAGE(DM))s between you and ICICI Bank the security is not compromised. At ICICI Bank, safety is our first priority. The entire communication between your Twitter account and the ICICI Bank’s account is carried out through private structured messages using secured channels to ensure safety and privacy of not only your Bank but also your Twitter Account. Payments on Twitter is a safe and secure mode of banking with a two-factor authentication – for both registration and funds transfer.
"
How can I recharge my prepaid mobile or DTH?,"To recharge prepaid mobile:

Send a Direct Message(DM) #GenOTP to @icicibank to receive OTP on registered mobile
Next send Direct Message(DM) #TopUp 10-digit mobile OperatorCode Amount OTP Example: #TopUp 1234567890 Airtel 10 111111
To know operator code for mobile recharge: Send #operatorcode
Send a Direct Message(DM) #GenOTP to @icicibank to receive OTP on registered mobile
Next send Direct Message(DM) #TopUp 10-digit mobile OperatorCode Amount OTP Example: #TopUp 1234567890 Airtel 10 111111
To know operator code for mobile recharge: Send #operatorcode
To recharge DTH:

Send Direct Message(DM) #GenOTP to @icicibank to receive OTP on registered mobile
Next send Direct Message(DM) #DTH DTH A/c no. OperatorCode Amount OTP Example: #DTH 1234567890 TATASKY 200 111111
To know operator code for DTH recharge: Send #operatorcode
Send Direct Message(DM) #GenOTP to @icicibank to receive OTP on registered mobile
Next send Direct Message(DM) #DTH DTH A/c no. OperatorCode Amount OTP Example: #DTH 1234567890 TATASKY 200 111111
To know operator code for DTH recharge: Send #operatorcode
"
What are the requirements for doing Twitter banking using icicibankpay? Does one need to open another account separately?,"Any Customer having ICICI Bank Savings account and Registered Mobile number with a Twitter Account can do any financial or non financial transactions.
"
"What if a customer has multiple Twitter accounts, can he register both the accounts with the bank?","Customers with multiple Twitter accounts can use any one of the accounts and will be able to register with any one of the accounts.
"
Can I cancel a Coupon that I generated?,"Yes you can! Send a Direct Message(DM) to @icicibank in the following format:  #cancelpay Receiver's Twitter account
"
"Who can send and receive money over Twitter? Can minors, NRIs, Current account holders also do Twitter Banking? How does it work?","We have launched this service for Resident Customers having ICICI Bank Savings account. Customer can send money over Twitter and anyone who has a Bank account in India can receive the money. This service has not been offered to NRI / Minor /Current account holders. However, if a minor has a Savings Account with a registered mobile number, he can transact on Twitter.
"
What is Pay any Visa Credit Card service?,"'Pay Any Visa Credit Card' is a service that allows you to transfer funds to any Visa credit card in India from your ICICI Bank Account. The maximum amount of transaction limit is â‚¹1,00,000.00.
You may see the detailed process of transfer online at www.icicibank.com > Internet Banking (Bottom of the page) > Services Offered > Pay Any Visa Credit Card.
Note: 'Pay any Visa Credit Card' service is non-chargeable.
The service allows you to either transfer funds or you can schedule a transfer for a future date. If you schedule the payment for a future date, it will be processed only on the date mentioned by you (subject to availability of funds in your account).
"
Can I pay my credit card bills using Pay any Visa Credit Card?,"Yes, you can pay your credit card bills (as long as it's a Visa card) using Pay any Visa Credit Card. Just enter the card number that you wish to make payments for, in the beneficiary card details.
"
What details do I need to know about the beneficiary to use the service?,"You only need to know the beneficiary's 16 digit card number and beneficiary name.
"
How do I transfer funds by Pay any Visa Credit Card?,"You may  transfer funds by ‘Pay any Visa Credit Card’ through any of the following channels:
Internet Banking:Login to Internet Banking > Payments & Transfers > Bill payments > Credit Card Bills > Other Bank Visa Credit Cards
In ‘Other Bank Visa Credit Card' screen, first register the beneficiary (one time registration) by entering the Visa card number and name of the beneficiary. Then make the payment to the beneficiary by entering the amount and selecting the beneficiary.
iMobile app: Login to ICICI Bank iMobile app > Bill Payment & Reminders > Add biller > Category → Credit Cards > Biller Name → Visa Credit Cards –Non ICICI (Pay Any Visa Credit Card)
"
How to access the Pay to Visa Credit Card service to transfer funds?,"To access this service, just log on to ICICIBank.com. Click on the 'Bank' tab in top left and then click on the Pay any Visa Credit Card'
"
Is there any per day limit to transfer funds?,"On any given day the individual as well as the total fund transfers which can carry out in any of the three categories of
cannot exceed Rs. 1 lac a Resident Indian customer and Rs. 2 lac for NRI customer.There will also be a transaction limit of Rs 1,00,000 per transaction for Pay any Credit Card.
Transfer Funds to any ICICI Bank Account (apart from own linked account)
Transfer Funds to any Non ICICI Bank Account
Pay any Credit Card
"
How to do Payee Registration Confirmation?,"To confirm a Payee please follow the steps mentioned below:

You will receive a Unique Registration Number (URN) by sms in the next 15 minutes.

*URN - Unique Registration Number
If you don't receive the URN, please make a request by sending URN < space> < payee nickname> as an SMS to 5676766 or 9837142424. (Not applicable for Account to Card transfer) Number.Note:
NRI customers wanting to know how to register for Mobile Banking, please click here
For resident customers, you can add a Payee only if you are registered for Mobile Banking.
To add/update your mobile number, please visit your nearest ICICI Bank branch.
NRI Customers can call Customer Care to confirm the addition of the Payee.
"
Why am I being asked to enter 3 Digits from my ICICI Bank ATM/Debit Card?,"In order to successfully complete the transaction, after entering your transaction password you will need to provide three random digits from your ICICI Bank Debit / ATM Card Number. This will be required after entering transaction password.
"
How long does it take to credit funds to the beneficiary?,"Amount will be credited to beneficiary Credit Card within 48 to 72 working hours. In case of failure if amount is not credited, it will be credited back to your Saving Account within 4 working days.
"
What is schedule payment?,"The service allows you to either transfer funds immediately (within 96 - 120 hours) or you can schedule a transfer for a future date. If you schedule the payment for a future date it will be processed only on the date mentioned by you (subject to availability of funds in your account).
"
Is Payee Registration required?,"Your Payee Registration Request gets accepted after you enter Payee Details and remains in ""Pending Confirmation"" status. You can transfer funds to the payee after you have ""confirmed"" the Payee. Please note that you need to confirm the Payee registration within 15 days from the date of registration failing which your Payee Registration is canceled.
"
Will I be charged for using the facility?,"For payment to any credit card, no fee will be charged.
"
What are the main benefits of Pay any Visa Credit Card?,"Main Benefits
Speed - This facility ensures that the funds are transferred to the beneficiary account within 3 working days. This is much faster compared to the time required in sending a draft/cheque and encashing it.
Convenience - Just log on to the ICICIBank.com and you can transfer the funds anywhere in India. No need to visit the bank branch and search for a courier.
Reach - The funds can be transferred to the beneficiary anywhere in India as long as he holds a Visa card. Beneficiary need not be present physically to receive the payment.
Bill Payment - You can easily pay the credit card bill using this facility.
"
What is a Payee Alert?,"Payee Alert is a SMS which will be sent to you on your Registered Mobile number after you enter the Payee Details for Payee Registration. Payee Alert will have Unique Registration Number.
"
Can the transfer once initiated be modified/stopped?,"No, If the transfer has been initiated in the current date, then neither can it be stopped nor can the beneficiary details or transfer amount be changed. This can be done only for the scheduled transfer later.
"
Where can I transfer funds using Pay Any Visa Credit Card?,"You can transfer funds to any VISA credit card across India.
"
Do I need to register for this service?,"No, you don't need to register to use the service. You will only need to register the beneficiary Online.
"
Why is Payee Registration Confirmation required?,"Customer security is the main concern at ICICI Bank. To improve security of your transaction, ICICI Bank has introduced Payee Registration confirmation. Customer is required to confirm the Payee Registration through alternate channel other than Internet.
"
I have got my Internet Banking User ID and Password; tell me what do I do?,"You can login with your Internet Banking User ID and Password. When you login for the first time you will get a screen, which will prompt you to change the Password. If you have been successful in changing your password, remember to login with the changed password. You will now come to the login home page, which is also called the My overview page.
It specifies your identity and informs you the last time you logged on to the site You will view the default widget on the home page (Overview of your relationship , short cut , calender , rewards etc)
You also get to see the mails that you may have received from your Account Manager and other alerts as specified by you.
On this page there is an overview of all the relationships that you have linked your Internet Banking User ID with. It can be Bank Account(s), Credit Card and Demat Account(s) , Insurance. The top navigational bar displays Overview , My accounts , Payments & Transfers , Investment & Insurance , Exclusive offerings & Customer Service.
"
Can I know the status on credit card payments?,"Yes, there is an option called View Last Credit received in Internet Banking Account, which will help you with this requirement of yours.
Please login to your Internet Banking Account > My Accounts> Credit Cards> View Last Credit Received.
It will show you the following details:
Last payment received date
Last payment amount
Payment due date
Next statement date
"
How do I register a new biller in Internet Banking?,"To register a biller, please follow the below mentioned steps:
Login to Internet Banking with your User ID and Password > Payments & Transfer > Manage Billers > Select the Biller you wish to register for and click 'Add to List'. You will see a screen that asks you for certain details, fill in the details and click 'Add to List'. A message is generated saying 'Addition to Personal Payee List Successful'.
Once you give an OK to this message the Biller is added to your list.

"
How do I delete a Registered Biller in Internet Banking?,"To delete a biller on Internet Banking, please follow the below steps:
• Login to your Internet Banking Account• Go to 'Payments & Transfer'• Click the link 'Manage Billers'• Select 'My Registered Billers'• Select the biller and you can delete the biller by clicking on the 'Remove Biller' option.
For billers who are in presentment mode, you will not be able to delete the biller if your bills are in 'Pending', 'Waiting for acceptance' or 'Rejected' status.
"
Can I have only one User ID for all ICICI Bank relationships?,"Yes, you can link all your ICICI Bank accounts and Credit Cards and Demat Accounts to one Internet Banking User ID. However there are certain rules for linking joint accounts.
To link 2 accounts to one User ID, it is mandatory that the Date of Birth, Name and communication address are identical in both the accounts.
Incase of joint accounts, the primary account holder details should match with the ICICI Bank Account to which it is being linked to.
"
What are the different biller categories?,"There are 3 categories of billers available:Presentment type: For these billers the bills are presented on www.icicibank.com and you can login and view your bill online. Once you register for a presentment type biller your details are sent to the biller and whenever your bill is generated (which would be the next billing cycle from your registration date), it is presented on www.icicibank.com from you to make the payment.Payments to such billers cannot be made immediately after registering for them, it usually takes 3-4 weeks after the date of registration for your bill to be presented online.Payment type: For these billers you can make the payments immediately after registering for them. The bills for these billers are not presented online and you can choose to pay any amount as desired by you.Hot payment type: For these billers you need to go to their web site for making the payments. These bills cannot be paid by logging on to www.icicibank.com.
You will continue to receive bills in the physical form, from the Biller in the same manner as received by you currently.
Shopping Mall type: For these billers you will have to go to the Shops (Biller) web site for making the payments. These bills cannot be paid by first logging on to www.icicibank.com.
"
Can I Pay my bills on the due date?,
What are the transactions that I can do online?,"You can
Check the Balance in your account
View/Download mini and detailed statement
Check transaction history
Transfer funds between your own ICICI Bank A/cs
Transfer funds to any ICICI Bank A/cs
Transfer funds to any Non-ICICI Bank A/c (Using NEFT , RTGS and IMPS facility) You can view pending transfers(if any) and also see all the past transactions that you have done using ICICI Bank Funds Transfer
Open recurring deposit and I_wish deposits , Fixed Deposit You can view pending transfers(if any) and also see all the past transactions that you have done using ICICI Bank Funds Transfer
Credit card
View current and past statement
Service requests like auto debit, dial a draft etc.
Demat
View your transaction and holding statement
Bill Payment
Use your ICICI Bank Account or ICICI Credit Card to pay your Utility bills , Credit card bills , telecom bills , SIP and insurance bills from the comfort of your home.
Recharge your Mobile and DTH connection online
Online Shopping using Using ICICI NET Banking payment gateway
"
